id,clientId,claimType,claimAmount,submissionDate,claimStatus,claimProbability,fraudLikelihoodScore,isFraudFlagged,supportingDocuments
CL0001,C001,Employment Dispute,47172.74,2023-10-27,Pending,85,18,True,"['CL0001_1_doc.pdf', 'CL0001_2_doc.pdf', 'CL0001_3_doc.pdf']"
CL0002,C001,Property Damage,39187.79,2023-11-30,Rejected,86,28,False,"['CL0002_1_doc.pdf', 'CL0002_2_doc.pdf', 'CL0002_3_doc.pdf']"
CL0003,C002,Personal Injury,14652.1,2024-02-29,Rejected,91,86,False,"['CL0003_1_doc.pdf', 'CL0003_2_doc.pdf', 'CL0003_3_doc.pdf']"
CL0004,C003,Motor Vehicle Accident,8276.28,2023-07-19,Rejected,97,66,False,['CL0004_1_doc.pdf']
CL0005,C004,Employment Dispute,19437.85,2024-03-23,Approved,76,94,False,"['CL0005_1_doc.pdf', 'CL0005_2_doc.pdf']"
CL0006,C004,Employment Dispute,20826.75,2023-11-16,Approved,15,27,False,"['CL0006_1_doc.pdf', 'CL0006_2_doc.pdf', 'CL0006_3_doc.pdf']"
CL0007,C004,Medical Malpractice,1767.19,2023-07-01,Rejected,1,70,False,[]
CL0008,C005,Family Law,9853.14,2023-10-15,Pending,23,28,False,"['CL0008_1_doc.pdf', 'CL0008_2_doc.pdf']"
CL0009,C005,Family Law,49270.34,2023-07-13,Approved,26,39,False,['CL0009_1_doc.pdf']
CL0010,C005,Property Damage,2177.37,2023-10-11,Rejected,76,89,False,"['CL0010_1_doc.pdf', 'CL0010_2_doc.pdf']"
CL0011,C005,Medical Malpractice,4570.44,2024-03-11,Pending,97,62,False,[]
CL0012,C008,Medical Malpractice,16135.03,2023-07-15,Rejected,18,16,False,['CL0012_1_doc.pdf']
CL0013,C009,Employment Dispute,21335.91,2023-07-19,Rejected,2,50,False,"['CL0013_1_doc.pdf', 'CL0013_2_doc.pdf', 'CL0013_3_doc.pdf']"
CL0014,C009,Personal Injury,23303.82,2023-07-17,Approved,66,56,False,[]
CL0015,C009,Employment Dispute,29330.42,2023-06-26,Rejected,6,15,False,"['CL0015_1_doc.pdf', 'CL0015_2_doc.pdf', 'CL0015_3_doc.pdf']"
CL0016,C009,Personal Injury,31752.53,2023-09-22,Pending,10,1,False,"['CL0016_1_doc.pdf', 'CL0016_2_doc.pdf']"
CL0017,C011,Family Law,16215.68,2024-01-31,Approved,9,72,False,['CL0017_1_doc.pdf']
CL0018,C012,Commercial Dispute,2582.49,2024-04-30,Approved,16,99,True,['CL0018_1_doc.pdf']
CL0019,C012,Property Damage,1553.84,2024-03-22,Approved,88,15,False,[]
CL0020,C014,Personal Injury,3192.49,2024-02-17,Approved,8,97,False,"['CL0020_1_doc.pdf', 'CL0020_2_doc.pdf', 'CL0020_3_doc.pdf']"
CL0021,C015,Family Law,42824.81,2024-04-16,Approved,100,57,False,"['CL0021_1_doc.pdf', 'CL0021_2_doc.pdf', 'CL0021_3_doc.pdf']"
CL0022,C015,Debt Collection,29859.01,2024-01-04,Pending,76,35,False,['CL0022_1_doc.pdf']
CL0023,C016,Family Law,17423.96,2023-07-28,Pending,93,80,False,"['CL0023_1_doc.pdf', 'CL0023_2_doc.pdf']"
CL0024,C016,Motor Vehicle Accident,36903.32,2023-06-04,Pending,41,76,False,[]
CL0025,C016,Medical Malpractice,40450.21,2024-05-09,Approved,70,42,False,[]
CL0026,C016,Family Law,6719.2,2023-10-08,Rejected,7,84,False,"['CL0026_1_doc.pdf', 'CL0026_2_doc.pdf']"
CL0027,C018,Motor Vehicle Accident,45153.15,2023-08-20,Pending,41,53,False,"['CL0027_1_doc.pdf', 'CL0027_2_doc.pdf']"
CL0028,C019,Debt Collection,18577.65,2023-08-01,Approved,89,84,False,"['CL0028_1_doc.pdf', 'CL0028_2_doc.pdf']"
CL0029,C019,Debt Collection,14008.61,2023-06-16,Pending,92,13,False,"['CL0029_1_doc.pdf', 'CL0029_2_doc.pdf', 'CL0029_3_doc.pdf']"
CL0030,C019,Property Damage,4781.17,2023-12-05,Approved,44,85,False,[]
