clientId,totalClaims,averageClaimAmount,lastClaimDate
C001,2,43180.26,2023-11-30
C002,1,14652.1,2024-02-29
C003,1,8276.28,2023-07-19
C004,3,14010.6,2024-03-23
C005,4,16467.82,2024-03-11
C006,0,0.0,
C007,0,0.0,
C008,1,16135.03,2023-07-15
C009,4,26430.67,2023-09-22
C010,0,0.0,
C011,1,16215.68,2024-01-31
C012,2,2068.16,2024-04-30
C013,0,0.0,
C014,1,3192.49,2024-02-17
C015,2,36341.91,2024-04-16
C016,4,25374.17,2024-05-09
C017,0,0.0,
C018,1,45153.15,2023-08-20
C019,4,16995.35,2023-12-05
C020,4,39581.65,2024-05-24
C021,2,40807.78,2024-04-22
C022,2,12217.02,2024-05-09
C023,4,21381.17,2023-12-08
C024,3,18849.37,2024-03-28
C025,1,42481.2,2023-11-04
C026,4,22346.91,2024-03-18
C027,1,45983.52,2023-08-03
C028,4,45892.58,2024-04-17
C029,3,22134.39,2023-09-21
C030,2,22986.44,2023-11-24
C031,3,17092.66,2024-03-07
C032,3,22903.29,2024-04-21
C033,3,36387.43,2024-05-30
C034,4,25573.49,2024-05-22
C035,2,22628.28,2023-09-27
C036,1,38213.2,2023-08-08
C037,0,0.0,
C038,4,29730.91,2024-05-05
C039,2,13229.17,2024-02-24
C040,1,2648.44,2024-01-25
C041,0,0.0,
C042,0,0.0,
C043,2,32252.56,2023-12-16
C044,3,17074.15,2023-10-19
C045,4,14838.25,2024-02-21
C046,2,23323.57,2023-07-12
C047,2,24182.55,2023-09-15
C048,4,13190.54,2024-04-17
C049,1,10296.94,2024-04-27
C050,0,0.0,
C051,2,19010.23,2024-04-15
C052,3,14636.29,2024-04-12
C053,4,31321.19,2024-02-09
C054,4,24555.28,2024-01-07
C055,3,17261.41,2024-04-13
C056,1,37748.61,2024-01-10
C057,0,0.0,
C058,2,17521.33,2024-01-12
C059,0,0.0,
C060,4,20810.24,2024-03-30
C061,1,13108.13,2023-10-02
C062,0,0.0,
C063,3,18971.36,2024-01-24
C064,2,27194.63,2024-05-10
C065,3,24002.32,2024-05-04
C066,3,22279.9,2024-02-07
C067,2,15672.23,2024-01-10
C068,2,12565.84,2023-12-16
C069,3,23221.2,2024-01-23
C070,1,43674.02,2023-11-14
C071,3,23567.03,2024-05-06
C072,2,30863.65,2024-03-06
C073,4,25227.11,2024-05-31
C074,4,21474.39,2024-01-22
C075,3,34601.76,2024-04-12
C076,2,23370.57,2024-01-27
C077,3,18777.23,2024-04-23
C078,3,31564.86,2024-03-25
C079,4,19830.12,2024-02-25
C080,2,39706.94,2024-05-11
C081,0,0.0,
C082,3,10121.69,2024-02-15
C083,2,25866.17,2024-01-05
C084,2,21904.13,2023-08-26
C085,3,20790.01,2024-04-02
C086,4,17302.97,2024-03-22
C087,4,27820.0,2024-02-13
C088,3,24116.52,2024-04-01
C089,0,0.0,
C090,2,32768.97,2023-08-27
C091,4,20465.0,2024-05-22
C092,3,27456.43,2024-03-30
C093,0,0.0,
C094,3,18974.75,2024-05-05
C095,1,40925.43,2023-12-10
C096,1,977.76,2024-04-12
C097,2,21097.02,2024-05-31
C098,2,11203.31,2024-04-15
C099,2,26225.35,2023-12-16
C100,3,9100.32,2024-04-10
C101,4,25711.92,2024-01-28
C102,0,0.0,
C103,3,37981.0,2023-12-23
C104,1,36756.67,2024-05-16
C105,1,35492.39,2023-10-30
C106,2,24042.08,2023-08-23
C107,3,11442.99,2023-12-02
C108,4,31109.6,2024-02-12
C109,3,21070.82,2024-02-24
C110,0,0.0,
C111,2,34778.54,2024-01-07
C112,0,0.0,
C113,4,18299.35,2024-04-10
C114,0,0.0,
C115,1,38848.03,2023-12-15
C116,4,36909.43,2023-10-19
C117,1,32104.1,2023-10-13
C118,4,15324.94,2023-11-11
C119,0,0.0,
C120,4,23265.06,2024-04-20
C121,4,34703.49,2024-01-27
C122,2,18467.89,2023-11-25
C123,3,22755.05,2024-02-02
C124,3,31008.67,2024-02-23
