clientId,interactionType,timestamp
C001,Opened Email,2023-09-24
C001,Login,2023-09-07
C001,Submitted Form,2023-12-14
C001,Viewed Dashboard,2023-11-13
C001,Contacted Support,2023-12-05
C001,Viewed Dashboard,2023-11-06
C001,Submitted Form,2023-07-31
C001,Login,2023-12-12
C001,Opened Email,2024-05-12
C001,Updated Profile,2023-08-25
C001,Accessed Help Article,2023-12-21
C001,Opened Email,2024-01-05
C001,Submitted Form,2023-09-15
C001,Contacted Support,2023-09-09
C001,Viewed Policy,2023-09-21
C001,Submitted Form,2023-08-31
C001,Viewed Policy,2023-11-18
C001,Submitted Form,2023-08-02
C001,Login,2023-06-01
C001,Login,2023-10-31
C001,Opened Email,2023-07-18
C001,Viewed Dashboard,2023-08-29
C001,Submitted Form,2023-10-03
C001,Viewed Dashboard,2023-06-02
C001,Updated Profile,2024-02-13
C001,Viewed Policy,2023-08-25
C001,Submitted Form,2023-07-11
C001,Viewed Dashboard,2024-02-03
C001,Login,2023-07-13
C001,Updated Profile,2024-03-19
C001,Viewed Policy,2023-10-08
C001,Updated Profile,2024-01-28
C001,Login,2023-09-16
C001,Updated Profile,2024-05-20
C001,Login,2023-12-09
C001,Login,2023-10-24
C001,Updated Profile,2023-07-12
C001,Accessed Help Article,2023-07-16
C001,Accessed Help Article,2023-12-30
C002,Accessed Help Article,2023-06-09
C002,Updated Profile,2023-09-13
C002,Updated Profile,2023-12-14
C002,Contacted Support,2023-08-08
C002,Viewed Policy,2024-02-09
C002,Viewed Dashboard,2024-01-08
C002,Viewed Policy,2023-08-23
C002,Submitted Form,2024-02-26
C002,Opened Email,2023-11-18
C002,Updated Profile,2023-07-20
C002,Opened Email,2023-12-03
C002,Viewed Policy,2024-02-15
C003,Submitted Form,2023-10-29
C003,Login,2024-05-02
C003,Contacted Support,2023-06-03
C003,Viewed Policy,2023-06-29
C003,Submitted Form,2024-02-24
C003,Submitted Form,2023-06-19
C003,Updated Profile,2024-01-01
C003,Viewed Dashboard,2023-08-02
C003,Updated Profile,2023-12-05
C003,Accessed Help Article,2023-10-28
C003,Viewed Dashboard,2023-07-20
C003,Updated Profile,2023-08-04
C003,Accessed Help Article,2023-12-30
C003,Login,2023-10-06
C003,Viewed Policy,2023-07-06
C003,Viewed Dashboard,2024-05-11
C003,Submitted Form,2023-07-06
C003,Submitted Form,2023-07-01
C003,Viewed Dashboard,2024-02-23
C003,Login,2024-05-26
C003,Opened Email,2024-03-09
C003,Accessed Help Article,2024-01-28
C003,Submitted Form,2023-07-24
C003,Login,2024-02-02
C003,Accessed Help Article,2023-07-31
C004,Accessed Help Article,2023-07-14
C004,Opened Email,2023-08-07
C004,Submitted Form,2023-09-26
C004,Viewed Policy,2023-11-07
C004,Updated Profile,2024-01-22
C004,Accessed Help Article,2023-10-26
C004,Submitted Form,2023-09-30
C004,Login,2023-06-18
C004,Contacted Support,2024-03-12
C004,Opened Email,2024-02-16
C004,Contacted Support,2023-07-20
C004,Submitted Form,2024-05-31
C004,Accessed Help Article,2023-09-22
C004,Opened Email,2023-08-01
C004,Updated Profile,2023-07-09
C004,Login,2024-02-09
C004,Opened Email,2024-02-27
C004,Updated Profile,2023-07-25
C004,Opened Email,2023-09-14
C004,Accessed Help Article,2023-11-23
C004,Login,2024-04-24
C004,Accessed Help Article,2024-03-21
C004,Submitted Form,2024-04-15
C004,Viewed Policy,2023-09-18
C004,Viewed Dashboard,2023-11-12
C004,Accessed Help Article,2024-04-11
C004,Login,2024-01-21
C004,Viewed Dashboard,2024-05-23
C004,Contacted Support,2023-07-01
C004,Updated Profile,2024-05-11
C004,Opened Email,2024-03-01
C004,Viewed Policy,2023-08-24
C005,Opened Email,2024-04-08
C005,Opened Email,2024-04-02
C005,Updated Profile,2023-10-28
C005,Updated Profile,2023-06-02
C005,Submitted Form,2023-12-12
C005,Login,2023-11-05
C005,Updated Profile,2023-10-31
C005,Submitted Form,2023-11-09
C005,Opened Email,2023-07-01
C005,Login,2024-01-27
C005,Viewed Dashboard,2023-07-02
C005,Contacted Support,2024-01-06
C005,Updated Profile,2023-12-17
C005,Submitted Form,2023-07-29
C005,Opened Email,2023-09-22
C005,Opened Email,2024-04-17
C005,Submitted Form,2024-02-08
C005,Updated Profile,2024-04-24
C005,Viewed Dashboard,2024-05-15
C005,Login,2024-03-04
C005,Submitted Form,2024-01-19
C005,Contacted Support,2023-07-07
C005,Updated Profile,2023-07-06
C005,Login,2023-12-19
C005,Submitted Form,2023-10-27
C005,Updated Profile,2024-04-23
C005,Login,2024-04-27
C005,Viewed Dashboard,2024-03-27
C005,Viewed Dashboard,2023-10-05
C005,Submitted Form,2023-10-18
C005,Updated Profile,2023-07-11
C005,Login,2023-09-18
C005,Viewed Dashboard,2023-10-15
C005,Opened Email,2023-07-10
C005,Accessed Help Article,2023-12-21
C005,Updated Profile,2023-06-28
C005,Viewed Policy,2023-08-17
C005,Accessed Help Article,2024-05-21
C005,Viewed Dashboard,2024-05-13
C005,Updated Profile,2024-03-03
C005,Viewed Dashboard,2024-05-04
C005,Contacted Support,2024-05-16
C005,Viewed Dashboard,2024-02-06
C005,Contacted Support,2023-06-01
C005,Login,2023-07-06
C005,Login,2024-01-11
C005,Opened Email,2024-02-18
C005,Submitted Form,2024-02-02
C005,Login,2024-05-20
C005,Accessed Help Article,2023-08-17
C005,Viewed Dashboard,2024-03-12
C006,Accessed Help Article,2024-04-01
C006,Viewed Policy,2024-04-10
C006,Updated Profile,2024-04-06
C006,Submitted Form,2023-07-07
C006,Updated Profile,2023-12-01
C006,Contacted Support,2024-04-23
C006,Opened Email,2023-08-22
C006,Accessed Help Article,2023-07-07
C006,Viewed Dashboard,2023-11-18
C006,Accessed Help Article,2024-04-23
C006,Contacted Support,2024-01-06
C006,Login,2023-12-10
C006,Opened Email,2023-07-22
C006,Submitted Form,2023-11-26
C006,Contacted Support,2023-08-21
C006,Contacted Support,2023-09-18
C006,Viewed Dashboard,2024-01-03
C006,Viewed Policy,2023-08-19
C006,Opened Email,2024-02-27
C006,Accessed Help Article,2024-01-04
C006,Updated Profile,2023-11-19
C006,Opened Email,2023-12-27
C006,Contacted Support,2023-11-30
C006,Viewed Policy,2023-09-09
C006,Viewed Dashboard,2024-02-26
C006,Viewed Policy,2024-04-24
C006,Submitted Form,2024-03-19
C006,Viewed Policy,2024-03-15
C006,Viewed Dashboard,2024-03-21
C006,Opened Email,2024-04-13
C006,Contacted Support,2023-06-02
C006,Updated Profile,2023-11-18
C006,Updated Profile,2023-08-14
C006,Updated Profile,2023-12-03
C007,Viewed Policy,2023-10-25
C007,Contacted Support,2023-09-28
C007,Contacted Support,2023-08-14
C007,Updated Profile,2023-12-31
C007,Updated Profile,2024-01-20
C007,Opened Email,2023-09-23
C007,Opened Email,2023-10-21
C007,Accessed Help Article,2024-03-04
C007,Contacted Support,2024-04-25
C007,Viewed Policy,2024-02-15
C007,Viewed Policy,2024-04-20
C007,Viewed Dashboard,2024-02-25
C007,Viewed Policy,2023-06-23
C007,Viewed Policy,2023-12-01
C007,Opened Email,2024-01-05
