clientId,actionType,actionDate,outcome,outcome_encoded
C001,Invite to Webinar,2023-08-27,Churned,0
C001,Offer Discount,2023-06-09,Stayed,1
C003,Provide Educational Content,2024-01-18,Stayed,1
C007,Send Follow-up Survey,2023-11-15,Churned,0
C010,Invite to Webinar,2024-01-04,Churned,0
C010,Offer Discount,2023-08-17,Stayed,1
C011,Offer Discount,2023-09-24,Stayed,1
C011,Offer Discount,2024-05-10,Stayed,1
C012,Offer Discount,2023-11-08,Stayed,1
C014,Provide Educational Content,2023-10-31,Churned,0
C014,Schedule Call,2023-11-09,Stayed,1
C016,Offer Discount,2023-10-28,Churned,0
C019,Send Personalized Email,2023-09-07,Churned,0
C019,Invite to Webinar,2023-06-01,Churned,0
C021,Send Follow-up Survey,2023-12-24,Churned,0
C022,Provide Educational Content,2023-08-30,Stayed,1
C022,Send Personalized Email,2024-04-02,Stayed,1
C028,Offer Discount,2023-06-22,Churned,0
C028,Invite to Webinar,2023-09-15,Churned,0
C030,Schedule Call,2024-04-30,Churned,0
C030,Schedule Call,2023-07-13,Stayed,1
C031,Provide Educational Content,2024-01-21,Churned,0
C042,Schedule Call,2024-03-20,Churned,0
C042,Provide Educational Content,2024-05-26,Stayed,1
C043,Offer Discount,2023-08-17,Stayed,1
C044,Send Personalized Email,2023-12-02,Stayed,1
C044,Offer Discount,2023-09-12,Churned,0
C046,Offer Discount,2024-05-02,Stayed,1
C046,Send Follow-up Survey,2023-06-23,Churned,0
C048,Offer Discount,2023-12-10,Stayed,1
C049,Offer Discount,2023-12-04,Stayed,1
C050,Invite to Webinar,2023-11-25,Churned,0
C051,Send Follow-up Survey,2023-10-02,Churned,0
C051,Invite to Webinar,2023-12-13,Churned,0
C053,Send Follow-up Survey,2023-07-30,Churned,0
C054,Offer Discount,2023-07-11,Churned,0
C055,Invite to Webinar,2023-06-15,Churned,0
C056,Offer Discount,2024-01-13,Stayed,1
C058,Send Personalized Email,2023-07-01,Churned,0
C060,Schedule Call,2024-05-26,Churned,0
C060,Offer Discount,2023-10-27,Churned,0
C061,Provide Educational Content,2023-10-16,Churned,0
C061,Schedule Call,2023-06-29,Stayed,1
C063,Provide Educational Content,2023-09-29,Stayed,1
C064,Send Follow-up Survey,2024-01-05,Churned,0
C069,Offer Discount,2023-12-05,Stayed,1
C069,Offer Discount,2024-02-17,Churned,0
C070,Send Personalized Email,2023-07-18,Churned,0
C070,Send Follow-up Survey,2023-06-27,Stayed,1
C072,Invite to Webinar,2024-05-21,Churned,0
C072,Send Personalized Email,2023-08-05,Stayed,1
C073,Provide Educational Content,2023-12-27,Churned,0
C073,Invite to Webinar,2023-11-19,Churned,0
C075,Invite to Webinar,2024-05-30,Churned,0
C075,Offer Discount,2024-01-14,Churned,0
C079,Offer Discount,2023-06-12,Stayed,1
C079,Provide Educational Content,2024-05-27,Stayed,1
C080,Schedule Call,2024-02-15,Churned,0
C082,Schedule Call,2024-03-12,Churned,0
C084,Invite to Webinar,2023-06-13,Churned,0
C089,Send Personalized Email,2023-07-14,Churned,0
C092,Offer Discount,2024-01-23,Stayed,1
C092,Provide Educational Content,2024-01-28,Churned,0
C093,Send Personalized Email,2023-12-30,Churned,0
C093,Send Follow-up Survey,2024-04-10,Churned,0
C094,Provide Educational Content,2023-06-17,Churned,0
C094,Send Follow-up Survey,2023-11-29,Churned,0
C098,Provide Educational Content,2024-02-14,Stayed,1
C099,Invite to Webinar,2023-12-13,Churned,0
C105,Send Personalized Email,2024-04-11,Stayed,1
C105,Schedule Call,2023-09-03,Stayed,1
C109,Offer Discount,2023-07-19,Churned,0
C109,Schedule Call,2023-06-09,Stayed,1
C111,Offer Discount,2023-09-25,Stayed,1
C112,Send Personalized Email,2024-03-31,Churned,0
C113,Provide Educational Content,2023-11-07,Churned,0
C115,Send Personalized Email,2023-09-27,Churned,0
C115,Offer Discount,2024-05-30,Churned,0
C120,Provide Educational Content,2023-10-20,Churned,0
C120,Send Follow-up Survey,2023-09-16,Stayed,1
C121,Provide Educational Content,2024-01-19,Churned,0
C121,Send Personalized Email,2023-06-28,Churned,0
C122,Schedule Call,2024-05-19,Stayed,1
C122,Invite to Webinar,2023-10-04,Stayed,1
C125,Send Follow-up Survey,2024-01-11,Churned,0
C127,Send Personalized Email,2023-11-21,Stayed,1
C128,Send Follow-up Survey,2024-03-24,Stayed,1
C136,Offer Discount,2024-03-22,Stayed,1
